"","species","date"
"134","Falcipennis canadensis","2018-11-25 11:40"
"135","Branta hutchinsii/canadensis","2018-11-25 11:33"
"136","Phasianus colchicus","2018-11-25 11:05"
"137","Ardea alba","2018-11-25 10:10"
"138","Circus hudsonius","2018-11-25 10:10"
"139","Bubo virginianus","2018-11-24 16:16"
"140","Lagopus leucura","2018-11-24 09:22"
"141","Megascops kennicottii","2018-11-24 08:05"
"142","Lagopus muta","2018-11-23 23:07"
"143","Picoides arcticus","2018-11-23 11:00"
"144","Somateria mollissima","2018-11-22 17:19"
"145","Spatula clypeata","2018-11-22 17:19"
"146","Mareca penelope","2018-11-22 17:19"
"147","Acanthis flammea/hornemanni","2018-11-22 15:00"
"148","Branta hutchinsii","2018-11-22 12:52"
"149","Anthus rubescens","2018-11-22 11:18"
"150","Laridae sp.","2018-11-22 09:44"
"151","Acanthis sp.","2018-11-21 14:50"
"152","Picidae sp.","2018-11-21 14:44"
"153","Aegolius funereus","2018-11-21 14:30"
"154","Agelaius phoeniceus","2018-11-21 10:15"
"155","Cygnus buccinator/columbianus","2018-11-21 09:45"
